Item ID,Created Time,Last Modified Time,Item Name,Sales Description,Selling Price,Sales Account,Is Returnable Item,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Product Type,Source,Reference ID,Last Sync Time,Status,Unit,Unit Name,SKU,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Account,Purchase Description,Inventory Account,Inventory Valuation Method,Reorder Level,Preferred Vendor,Location Name,Opening Stock,Opening Stock Value,Stock On Hand,Is Combo Product,Item Type,Sellable,Purchasable,Track Inventory,Product Name,Item Description,AttributeName1,AttributeType1,AttributeName2,AttributeType2,AttributeName3,AttributeType3,AttributeOption1,AttributeOptionData1,AttributeOption2,AttributeOptionData2,AttributeOption3,AttributeOptionData3,Category Name,Parent Category,CUSTOMER TYPE
4516918000000119477,2023-09-25 07:48:50,2026-07-23 12:31:21,FAN-2,"16"" Mist Fan W Remote-1x1",IQD 120000,Sales,true,GEEPAS,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GF21160,6294015534863,,,GF21160,IQD 82856,Cost of Goods Sold,"16"" Mist Fan W Remote-1x1",Inventory Asset,fifo,,Western International LLC,ERB,34,IQD 82856,8,false,Inventory,true,true,true,FAN-2,"16"" Mist Fan W Remote-1x1",,,,,,,,,,,,,Discontinued,LHH,
4516918000000119490,2023-09-25 07:48:51,2025-11-15 13:05:05,IRON-1,Cordless/CordedSteam Iron/Cermic Sole-1x6,IQD 39000,Sales,true,GEEPAS,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GSI24015,6294015517927,,,GSI24015,IQD 30092,Cost of Goods Sold,Cordless/CordedSteam Iron/Cermic Sole-1x6,Inventory Asset,fifo,,Western International LLC,ERB,3,IQD 30092,0,false,Inventory,true,true,true,IRON-1,Cordless/CordedSteam Iron/Cermic Sole-1x6,,,,,,,,,,,,,Discontinued,LHH,
4516918000000119503,2023-09-25 07:48:51,2026-08-11 11:51:51,IRON-4,Ceramic Steam Iron/480mLTank/3000W-1x8,IQD 49000,Sales,true,GEEPAS,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GSI24025,6294015533101,,,GSI24025,IQD 22376,Cost of Goods Sold,Ceramic Steam Iron/480mLTank/3000W-1x8,Inventory Asset,fifo,,Western International LLC,ERB,3,IQD 21585,354,false,Inventory,true,true,true,IRON-4,Ceramic Steam Iron/480mLTank/3000W-1x8,,,,,,,,,,,,,Active,ELC,
4516918000000119516,2023-09-25 07:48:51,2026-08-11 11:51:51,GARMENT STEAMER-1,Garment Steamer/SS NozlePanel/1.5L/2000W,IQD 79000,Sales,true,GEEPAS,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GGS25022,6294016353265,,,GGS25022,IQD 37746,Cost of Goods Sold,Garment Steamer/SS NozlePanel/1.5L/2000W,Inventory Asset,fifo,,Western International LLC,ERB,141,IQD 34425,632,false,Inventory,true,true,true,GARMENT STEAMER-1,Garment Steamer/SS NozlePanel/1.5L/2000W,,,,,,,,,,,,,Active,ELC,
4516918000000119529,2023-09-25 07:48:51,2025-11-15 13:05:14,VACUUM CLEANER-1,Wet&Dry&Blow S/S Vacuum Cleaner/23L/2400W,IQD 52500,Sales,true,GEEPAS,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GVC19011,6294015508659,,,GVC19011,IQD 76260,Cost of Goods Sold,Wet&Dry&Blow S/S Vacuum Cleaner/23L/2400W,Inventory Asset,fifo,,Western International LLC,ERB,3,IQD 76260,1,false,Inventory,true,true,true,VACUUM CLEANER-1,Wet&Dry&Blow S/S Vacuum Cleaner/23L/2400W,,,,,,,,,,,,,Discontinued,LHH,
4516918000000119542,2023-09-25 07:48:51,2026-08-10 13:33:53,VACUUM CLEANER-3,Rechargeable Handheld Vaccum Cleaner/Low Noise-1x8,IQD 60000,Sales,true,GEEPAS,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GVC19015UK,6294015510096,,,GVC19015UK,IQD 37185,Cost of Goods Sold,Rechargeable Handheld Vaccum Cleaner/Low Noise-1x8,Inventory Asset,fifo,,Western International LLC,ERB,22,IQD 37185,13,false,Inventory,true,true,true,VACUUM CLEANER-3,Rechargeable Handheld Vaccum Cleaner/Low Noise-1x8,,,,,,,,,,,,,Clearance,LHH,
4516918000000119555,2023-09-25 07:48:51,2026-08-10 13:33:53,VACUUM CLEANER-4,2In1 Stick& Handheld Vacuum Cleaner/600W-1x6,IQD 89000,Sales,true,GEEPAS,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GVC2596,6294015506242,,,GVC2596,IQD 41186,Cost of Goods Sold,2In1 Stick& Handheld Vacuum Cleaner/600W-1x6,Inventory Asset,fifo,,Western International LLC,ERB,166,IQD 39675,285,false,Inventory,true,true,true,VACUUM CLEANER-4,2In1 Stick& Handheld Vacuum Cleaner/600W-1x6,,,,,,,,,,,,,Active,ELC,
4516918000000119568,2023-09-25 07:48:51,2026-08-10 13:33:53,VACUUM CLEANER-5,Vacuum Cleanr/3L/Spd Cntrl/Low Noise-1x2,IQD 139000,Sales,true,GEEPAS,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GVC19023,6294015530988,,,GVC19023,IQD 66691,Cost of Goods Sold,Vacuum Cleanr/3L/Spd Cntrl/Low Noise-1x2,Inventory Asset,fifo,,Western International LLC,ERB,19,IQD 62790,111,false,Inventory,true,true,true,VACUUM CLEANER-5,Vacuum Cleanr/3L/Spd Cntrl/Low Noise-1x2,,,,,,,,,,,,,Active,ELC,
4516918000000119581,2023-09-25 07:48:51,2026-08-10 11:07:53,VACUUM CLEANER-6,Vacuum Cleaner/Dust Capacity 1.5L-1x1,IQD 66000,Sales,true,GEEPAS,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GVC2594,6294015506051,,,GVC2594,IQD 38926.50431,Cost of Goods Sold,Vacuum Cleaner/Dust Capacity 1.5L-1x1,Inventory Asset,fifo,,Western International LLC,ERB,216,IQD 37045,15,false,Inventory,true,true,true,VACUUM CLEANER-6,Vacuum Cleaner/Dust Capacity 1.5L-1x1,,,,,,,,,,,,,Active,ELC,
4516918000000119594,2023-09-25 07:48:51,2025-11-15 13:05:14,WATER DISPENSER-1,Bottom Load Water Disp/Hot/Cold/Norm-1x1,IQD 208500,Sales,true,GEEPAS,,0,0,0,0,cm,kg,,,,,,,,goods,2,,,Active,pcs,Pieces,GWD17021,6294015519426,,,GWD17021,IQD 188325,Cost of Goods Sold,Bottom Load Water Disp/Hot/Cold/Norm-1x1,Inventory Asset,fifo,,Western International LLC,,,,0,false,Inventory,true,true,true,WATER DISPENSER-1,Bottom Load Water Disp/Hot/Cold/Norm-1x1,,,,,,,,,,,,,Discontinued,LHH,
